,dataSetName,archiveType,geo_meanLat,geo_meanLon,geo_meanElev,paleoData_variableName,paleoData_units,paleoData_proxy,paleoData_proxyGeneral,time_variableName,compilationName,TSID
549,Asi-JAPA012.Yasue.1997,tree,44.95,142.12,2000.0,trsgi,,TRW,,year,Pages2kTemperature,Asia_116
550,Ocn-Rabaul.Quinn.2006,coral,-4.1916,151.9772,-8.0,Sr_Ca,mmol/mol,Sr/Ca,,year,Pages2kTemperature,Ocean2kHR_145
552,NAm-CirquePeak.Graybill.1995,tree,36.3,-118.2,3505.0,trsgi,,TRW,,year,Pages2kTemperature,NAm_640
553,Asi-PAKI007.Esper.2007,tree,36.33,74.03,3330.0,trsgi,,TRW,,year,Pages2kTemperature,Asia_196
554,Asi-PAKI012.Esper.2007,tree,36.58,75.08,3033.0,trsgi,,TRW,,year,Pages2kTemperature,Asia_205
555,NAm-Manitoba.D'Arrigo.2006,tree,58.0,-94.0,100.0,trsgi,,TRW,,year,Pages2kTemperature,NAm_1828
556,Aus-TakapariCedar.Xiong.2000,tree,-40.07,175.98,820.0,trsgi,,TRW,,year,Pages2kTemperature,Aus_071
557,NAm-GreenLake.Menounos.2006,lake sediment,50.2,-122.9,640.0,thickness,,varve thickness,,year,Pages2kTemperature,NAm_3865
558,NAm-AlmondButterLower.D'Arrigo.2005,tree,65.2,-162.2,168.0,trsgi,,TRW,,year,Pages2kTemperature,NAm_232
559,Ocn-RAPiD-12-1K.Thornalley.2009,marine sediment,62.08,-17.82,-1938.0,temperature,degC,foram Mg/Ca,,year,Pages2kTemperature,LPDb17a5e9e
560,Asi-MONG011.Jacoby.2006,tree,48.13,100.27,3700.0,trsgi,,TRW,,year,Pages2kTemperature,Asia_163
561,Asi-INDI015.Borgaonkar.2013,tree,31.2,77.23,3150.0,trsgi,,TRW,,year,Pages2kTemperature,Asia_104
562,Asi-NEPA015.Krusic.2013,tree,28.38,83.7,3600.0,trsgi,,TRW,,year,Pages2kTemperature,Asia_170
563,Ocn-HoutmanAbrolhosHAB05B.Zinke.2014,coral,-28.4609,113.772,-8.0,Sr_Ca,mmol/mol,Sr/Ca,,year,Pages2kTemperature,Ocean2kHR_025
564,Eur-CoastofPortugal.Abrantes.2011,marine sediment,41.1,-8.9,-80.0,temperature,degC,alkenone,,year,Pages2kTemperature,Eur_010
565,NAm-BowSummit-PeytoLake.Luckman.2005,tree,51.7,-116.5,2050.0,trsgi,,TRW,,year,Pages2kTemperature,NAm_2116
566,NAm-LittlePineLake.Gajewski.1988,lake sediment,45.3,-91.5,330.0,temperature,degC,pollen,,year,Pages2kTemperature,NAm_3819
567,Asi-SO90-39KG_SO130-275KL.Munz.2015,marine sediment,24.8333,65.9167,-695.0,temperature,degC,foraminifera,,year,Pages2kTemperature,Asia_335
568,Ocn-CariacoBasin.Black.2007,marine sediment,10.77,-64.77,-450.0,temperature,degC,foram Mg/Ca,,year,Pages2kTemperature,LPDe51d17e8
569,Asi-KunashirIsland.Demezhko.2009,hybrid,43.955,145.725,2400.0,temperature,degC,hybrid,,year,Pages2kTemperature,Asia_235
570,Ocn-Clipperton1b.Wu.2014,coral,10.2773,-109.2131,-13.0,Sr_Ca,mmol/mol,Sr/Ca,,year,Pages2kTemperature,Ocean2kHR_189
571,Ocn-Clipperton1b.Wu.2014,coral,10.2773,-109.2131,-13.0,d18O,permil,d18O,,year,Pages2kTemperature,Ocean2kHR_188
